antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'atlantic region'}),frozenset({'establishment'}),0.022224182026633742,1.0,0.022224182026633742,1.0,1.0,0.0,inf,0.0
frozenset({'atlantic region'}),frozenset({'point_of_interest'}),0.022224182026633742,1.0,0.022224182026633742,1.0,1.0,0.0,inf,0.0
frozenset({'central canada'}),frozenset({'bar'}),0.23013493253373313,0.11500132286797778,0.021165887644413087,0.09197164207702625,0.7997442097480066,-0.005299934035099041,0.9746377075231112,-0.24542626925620248
frozenset({'midwest'}),frozenset({'bar'}),0.1415909692212717,0.11500132286797778,0.019534350471822913,0.13796325132357523,1.1996666462868248,0.003251201705217543,1.026636832467819,0.19388787948256725
frozenset({'northeast'}),frozenset({'bar'}),0.1867889584619455,0.11500132286797778,0.021827321633300995,0.11685552407932011,1.0161233033247015,0.00034634431304551155,1.002099544595361,0.019512114968139187
frozenset({'west'}),frozenset({'bar'}),0.23494135285298529,0.11500132286797778,0.03161654466884205,0.13457207207207206,1.170178470264743,0.004597978294356396,1.0226139561395389,0.1900893492337187
frozenset({'central canada'}),frozenset({'cafe'}),0.23013493253373313,0.03205750066143399,0.011464855807390423,0.04981797279172256,1.554019239299428,0.004087305055471208,1.0186916523589384,0.4630776720844882
frozenset({'central canada'}),frozenset({'clothing_store'}),0.23013493253373313,0.11874944880500926,0.0305141546873622,0.13259245066104616,1.1165731882997418,0.0031857582982033963,1.0159590516206443,0.13561160797203814
frozenset({'central canada'}),frozenset({'convenience_store'}),0.23013493253373313,0.08704471293764882,0.02332657200811359,0.10136041387238935,1.164463761802455,0.003294542868789614,1.015930414323755,0.1834550317237979
frozenset({'central canada'}),frozenset({'doctor'}),0.23013493253373313,0.11826439721315812,0.018872916482935004,0.08200804751868175,0.6934297172366386,-0.008343852590857757,0.9605047194624354,-0.36478327345667055
frozenset({'central canada'}),frozenset({'establishment'}),0.23013493253373313,1.0,0.23013493253373313,1.0,1.0,0.0,inf,0.0
frozenset({'central canada'}),frozenset({'food'}),0.23013493253373313,0.3715054237587089,0.08902901490431255,0.38685571948649167,1.0413191699127191,0.003532639271686136,1.0250353729385306,0.05154103205526071
