antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'establishment', 'point_of_interest', 'restaurant'})",frozenset({'food'}),0.2417761707381603,0.3715054237587089,0.2417761707381603,1.0,2.691750741839763,0.1519550119733221,inf,0.8289037510904332
"frozenset({'establishment', 'restaurant'})",frozenset({'food'}),0.2417761707381603,0.3715054237587089,0.2417761707381603,1.0,2.691750741839763,0.1519550119733221,inf,0.8289037510904332
frozenset({'food'}),"frozenset({'point_of_interest', 'restaurant'})",0.3715054237587089,0.2417761707381603,0.2417761707381603,0.6508011869436202,2.691750741839763,0.1519550119733221,2.171324188147859,1.0
frozenset({'food'}),frozenset({'restaurant'}),0.3715054237587089,0.2417761707381603,0.2417761707381603,0.6508011869436202,2.691750741839763,0.1519550119733221,2.171324188147859,1.0
frozenset({'restaurant'}),frozenset({'food'}),0.2417761707381603,0.3715054237587089,0.2417761707381603,1.0,2.691750741839763,0.1519550119733221,inf,0.8289037510904332
frozenset({'restaurant'}),"frozenset({'food', 'point_of_interest'})",0.2417761707381603,0.3715054237587089,0.2417761707381603,1.0,2.691750741839763,0.1519550119733221,inf,0.8289037510904332
"frozenset({'establishment', 'point_of_interest', 'food'})",frozenset({'restaurant'}),0.3715054237587089,0.2417761707381603,0.2417761707381603,0.6508011869436202,2.691750741839763,0.1519550119733221,2.171324188147859,1.0
"frozenset({'food', 'point_of_interest'})",frozenset({'restaurant'}),0.3715054237587089,0.2417761707381603,0.2417761707381603,0.6508011869436202,2.691750741839763,0.1519550119733221,2.171324188147859,1.0
frozenset({'restaurant'}),"frozenset({'establishment', 'food'})",0.2417761707381603,0.3715054237587089,0.2417761707381603,1.0,2.691750741839763,0.1519550119733221,inf,0.8289037510904332
frozenset({'food'}),"frozenset({'establishment', 'restaurant'})",0.3715054237587089,0.2417761707381603,0.2417761707381603,0.6508011869436202,2.691750741839763,0.1519550119733221,2.171324188147859,1.0
"frozenset({'point_of_interest', 'restaurant'})",frozenset({'food'}),0.2417761707381603,0.3715054237587089,0.2417761707381603,1.0,2.691750741839763,0.1519550119733221,inf,0.8289037510904332
"frozenset({'establishment', 'food'})",frozenset({'restaurant'}),0.3715054237587089,0.2417761707381603,0.2417761707381603,0.6508011869436202,2.691750741839763,0.1519550119733221,2.171324188147859,1.0
"frozenset({'establishment', 'food'})","frozenset({'point_of_interest', 'restaurant'})",0.3715054237587089,0.2417761707381603,0.2417761707381603,0.6508011869436202,2.691750741839763,0.1519550119733221,2.171324188147859,1.0
"frozenset({'establishment', 'restaurant'})","frozenset({'food', 'point_of_interest'})",0.2417761707381603,0.3715054237587089,0.2417761707381603,1.0,2.691750741839763,0.1519550119733221,inf,0.8289037510904332
frozenset({'restaurant'}),"frozenset({'establishment', 'point_of_interest', 'food'})",0.2417761707381603,0.3715054237587089,0.2417761707381603,1.0,2.691750741839763,0.1519550119733221,inf,0.8289037510904332
