antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'united states'}),frozenset({'atm'}),0.6003615839139254,0.012434958991092688,0.010053796631096217,0.01674623576937202,1.3467061516943926,0.002588324955299104,1.0043847040663534,0.6442011184863852
frozenset({'united states'}),frozenset({'bakery'}),0.6003615839139254,0.020945409648117117,0.011597142605168004,0.019316929856775616,0.9222512321935946,-0.0009776767069016035,0.9983394433523731,-0.17420124862284248
frozenset({'canada'}),frozenset({'bar'}),0.3996384160860746,0.11500132286797778,0.03774583296587001,0.09444996138144103,0.8212945644970551,-0.0082131135528919,0.9773051067195707,-0.26601813686739745
frozenset({'united states'}),frozenset({'bar'}),0.6003615839139254,0.11500132286797778,0.07725548990210777,0.12868160117517446,1.118957573408975,0.008213113552891907,1.0157006650217046,0.2660181368673976
frozenset({'canada'}),frozenset({'beauty_salon'}),0.3996384160860746,0.029896816297733487,0.011685333803686393,0.029239766081871347,0.9780227362900861,-0.00026258250755615935,0.9993231591149855,-0.03607889780949546
frozenset({'united states'}),frozenset({'beauty_salon'}),0.6003615839139254,0.029896816297733487,0.018211482494047092,0.030334190231362468,1.0146294484761622,0.0002625825075561576,1.0004510563631541,0.036078897809495226
frozenset({'canada'}),frozenset({'cafe'}),0.3996384160860746,0.03205750066143399,0.016888614516271275,0.042259737393798964,1.3182480393625489,0.0040772057282575085,1.010652404551316,0.4021200315655538
frozenset({'united states'}),frozenset({'cafe'}),0.6003615839139254,0.03205750066143399,0.015168886145162713,0.02526625045905252,0.7881540961628515,-0.004077205728257505,0.9930327125683502,-0.40212003156555354
frozenset({'united states'}),frozenset({'campground'}),0.6003615839139254,0.02826527912514331,0.018784725284416614,0.03128901946382666,1.1069771971929188,0.001815337539076367,1.00312140607409,0.24181615493838401
frozenset({'canada'}),frozenset({'clothing_store'}),0.3996384160860746,0.11874944880500926,0.050930417144368995,0.12744124462098644,1.07319440977153,0.003473575512840693,1.0099612728224838,0.11360216720481157
frozenset({'canada'}),frozenset({'convenience_store'}),0.3996384160860746,0.08704471293764882,0.03726078137401887,0.09323623524219353,1.0711303661714615,0.0024743701669498533,1.006828153643963,0.1106113818947516
frozenset({'canada'}),frozenset({'department_store'}),0.3996384160860746,0.018740629685157422,0.011508951406649617,0.028798411122144988,1.5366832174776566,0.004019475842817634,1.0103560183098634,0.5817290767029266
frozenset({'canada'}),frozenset({'doctor'}),0.3996384160860746,0.11826439721315812,0.03298350824587706,0.08253337746882931,0.6978717129896015,-0.014279488135763824,0.9610546924903365,-0.4189803856059405
frozenset({'canada'}),frozenset({'establishment'}),0.3996384160860746,1.0,0.3996384160860746,1.0,1.0,0.0,inf,0.0
frozenset({'canada'}),frozenset({'food'}),0.3996384160860746,0.3715054237587089,0.1496604638857042,0.3744896833278164,1.0080328829089875,0.001192624767387851,1.0047709198226886,0.013273450739688738
frozenset({'canada'}),frozenset({'gas_station'}),0.3996384160860746,0.03858364935179469,0.013360966575535762,0.033432638199271766,0.8664975646663831,-0.002058541938235967,0.994670820311037,-0.20422138272187917
frozenset({'canada'}),frozenset({'grocery_or_supermarket'}),0.3996384160860746,0.04316959167475086,0.020592644854043565,0.05152819154805252,1.1936223982908427,0.0033404176140635414,1.0088127024955482,0.2701940248859546
frozenset({'canada'}),frozenset({'health'}),0.3996384160860746,0.20870447129376488,0.0683040832524914,0.1709147081540329,0.8189317032573755,-0.015102241085430415,0.9544199330136557,-0.269157113216973
frozenset({'canada'}),frozenset({'hospital'}),0.3996384160860746,0.03470323661698563,0.014375165358497222,0.03597042921769834,1.0365151128322272,0.0005064188438248206,1.00131447482434,0.05867919044539922
frozenset({'canada'}),frozenset({'liquor_store'}),0.3996384160860746,0.05551635946732516,0.022224182026633742,0.055610724925521354,1.0016997774908445,3.771206224676554e-05,1.0000999222044202,0.00282645191752821
frozenset({'canada'}),frozenset({'lodging'}),0.3996384160860746,0.22775377017373666,0.09061645647764353,0.22674611055941743,0.9955756622006715,-0.00040269949222043744,0.998696858007338,-0.007347815026858923
frozenset({'canada'}),frozenset({'meal_takeaway'}),0.3996384160860746,0.033512655436987386,0.013493253373313344,0.033763654419066536,1.0074896775205144,0.00010030883563732877,1.0002597697584314,0.01238253656218296
frozenset({'canada'}),frozenset({'park'}),0.3996384160860746,0.03161654466884205,0.01075932621924332,0.026922652543307956,0.8515368401354781,-0.001875859614327343,0.9951762394450941,-0.2250488068136621
frozenset({'canada'}),frozenset({'point_of_interest'}),0.3996384160860746,1.0,0.3996384160860746,1.0,1.0,0.0,inf,0.0
frozenset({'canada'}),frozenset({'restaurant'}),0.3996384160860746,0.24177617073816032,0.09361495722726872,0.23424914487476553,0.9688677927174781,-0.00300808869388601,0.9901703983573564,-0.050802944205377065
frozenset({'canada'}),frozenset({'shopping_mall'}),0.3996384160860746,0.0290589999118088,0.013757826968868507,0.034425686858656074,1.1846824379068324,0.0021447342710678562,1.0055580258026828,0.2596634085708637
frozenset({'canada'}),frozenset({'spa'}),0.3996384160860746,0.0778287326924773,0.030999206279213334,0.07756813417190776,0.9966516412184273,-0.0001041451799947829,0.9997174875129281,-0.005564833568244719
frozenset({'canada'}),frozenset({'store'}),0.3996384160860746,0.33124614163506483,0.1526148690360702,0.3818823789032329,1.152865893073418,0.020236185658409345,1.0819200675404153,0.22086093793885855
frozenset({'canada'}),frozenset({'supermarket'}),0.3996384160860746,0.026148690360702,0.012699532586647853,0.03177755710029792,1.215263810995879,0.002249511388171699,1.0058136090325878,0.29504452809401416
frozenset({'united states'}),frozenset({'clothing_store'}),0.6003615839139254,0.11874944880500926,0.06781903166064027,0.11296364304076387,0.9512771989893958,-0.0034735755128406792,0.9934773747221826,-0.11360216720481113
frozenset({'united states'}),frozenset({'convenience_store'}),0.6003615839139254,0.08704471293764882,0.04978393156362995,0.08292324641939039,0.9526511561798051,-0.0024743701669498394,0.9955058652373788,-0.110611381894751
frozenset({'united states'}),frozenset({'doctor'}),0.6003615839139254,0.11826439721315812,0.08528088896728106,0.14204921042967317,1.2011155831931872,0.014279488135763824,1.0277228175620967,0.4189803856059404
frozenset({'united states'}),frozenset({'drugstore'}),0.6003615839139254,0.022356468824411325,0.013713731369609313,0.02284245317664341,1.021737974634949,0.00029176633546343714,1.0004973449305201,0.053236845475739134
frozenset({'united states'}),frozenset({'establishment'}),0.6003615839139254,1.0,0.6003615839139254,1.0,1.0,0.0,inf,0.0
frozenset({'united states'}),frozenset({'finance'}),0.6003615839139254,0.013449157774054149,0.010671135020724932,0.017774513404333458,1.3216079179786038,0.0025967773571855014,1.0044036279747441,0.6089152789974316
frozenset({'united states'}),frozenset({'food'}),0.6003615839139254,0.3715054237587089,0.22184495987300468,0.3695189129636431,0.9946528080937089,-0.0011926247673878232,0.9968492142969688,-0.013273450739688428
frozenset({'united states'}),frozenset({'gas_station'}),0.6003615839139254,0.03858364935179469,0.02522268277625893,0.04201248622842453,1.0888676145008132,0.0020585419382359686,1.0035792083167459,0.2042213827218793
frozenset({'united states'}),frozenset({'grocery_or_supermarket'}),0.6003615839139254,0.04316959167475086,0.022576946820707294,0.03760558207858979,0.8711127583026143,-0.003340417614063538,0.9942185766120939,-0.27019402488595434
frozenset({'united states'}),frozenset({'hair_care'}),0.6003615839139254,0.018123291295528705,0.010230179028132993,0.017040029379361003,0.9402281904261529,-0.0006503488397840759,0.9988979592775444,-0.137241417513135
frozenset({'united states'}),frozenset({'health'}),0.6003615839139254,0.20870447129376488,0.14040038804127347,0.23385971355123025,1.1205304424075215,0.015102241085430429,1.0328337286296032,0.2691571132169732
frozenset({'united states'}),frozenset({'home_goods_store'}),0.6003615839139254,0.019534350471822913,0.012302672193315108,0.02049210429673155,1.049029212734262,0.0005749986033217677,1.0009777908162965,0.11694996830232969
frozenset({'united states'}),frozenset({'hospital'}),0.6003615839139254,0.03470323661698563,0.020328071258488404,0.03385971355123026,0.9756932451268104,-0.0005064188438248206,0.9991269145096352,-0.05867919044539922
frozenset({'united states'}),frozenset({'liquor_store'}),0.6003615839139254,0.05551635946732516,0.03329217744069142,0.055453543885420495,0.9988685212339683,-3.7712062246758604e-05,0.9999334965670581,-0.0028264519175276903
frozenset({'united states'}),frozenset({'lodging'}),0.6003615839139254,0.22775377017373666,0.13713731369609314,0.2284245317664341,1.0029451174054584,0.0004026994922204652,1.0008693402269944,0.007347815026859426
frozenset({'united states'}),frozenset({'meal_takeaway'}),0.6003615839139254,0.033512655436987386,0.020019402063674044,0.03334557473374954,0.995014399752595,-0.00010030883563732704,0.9998271557043855,-0.012382536562182748
frozenset({'united states'}),frozenset({'park'}),0.6003615839139254,0.03161654466884205,0.02085721844959873,0.03474109438119721,1.098826413356751,0.0018758596143273465,1.0032370068736658,0.22504880681366246
frozenset({'united states'}),frozenset({'point_of_interest'}),0.6003615839139254,1.0,0.6003615839139254,1.0,1.0,0.0,inf,0.0
frozenset({'united states'}),frozenset({'real_estate_agency'}),0.6003615839139254,0.013140488579239792,0.010053796631096217,0.01674623576937202,1.2743997811336196,0.0021647520942609695,1.003667158287417,0.5387792276675362
frozenset({'united states'}),frozenset({'restaurant'}),0.6003615839139254,0.24177617073816032,0.14816121351089162,0.24678663239074553,1.0207235545061695,0.003008088693886024,1.006652114617255,0.050802944205377294
