antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'other'}),frozenset({'bakery'}),0.7701737366610812,0.020945409648117117,0.017020901314048858,0.022100080155731134,1.0551276163614118,0.0008892968994614336,1.001180765520257,0.22733409151459938
frozenset({'epic'}),frozenset({'bar'}),0.10662315900873093,0.11500132286797778,0.014948408148866743,0.1401985111662531,1.21910346481146,0.002686603814499944,1.0293058207336363,0.2011749906088111
frozenset({'ikon'}),frozenset({'bar'}),0.12320310433018784,0.11500132286797778,0.017770526501455153,0.14423765211166786,1.2542260255323634,0.0036020065220420706,1.0341640752433583,0.2311773047946077
frozenset({'other'}),frozenset({'bar'}),0.7701737366610812,0.11500132286797778,0.08228238821765588,0.10683613878392305,0.928999216005294,-0.0062886103365420165,0.9908581342812757,-0.24955531625093405
frozenset({'other'}),frozenset({'beauty_salon'}),0.7701737366610812,0.029896816297733487,0.022709233618484877,0.02948585823886408,0.9862541196769316,-0.0003165091038104355,0.9995765563414423,-0.057176115699634385
frozenset({'other'}),frozenset({'cafe'}),0.7701737366610812,0.03205750066143399,0.02601640356292442,0.03377991526394137,1.053728911080691,0.0013265584904927213,1.0017826317520382,0.22186024428632742
frozenset({'other'}),frozenset({'campground'}),0.7701737366610812,0.02826527912514331,0.0225328512214481,0.02925684186419329,1.0350805925057338,0.00076367557986802,1.0010214470539809,0.1474664067416306
frozenset({'epic'}),frozenset({'clothing_store'}),0.10662315900873093,0.11874944880500926,0.012920010582943823,0.12117452440033086,1.0204217840143717,0.00025856922080816705,1.0027594507244648,0.02240161181096262
frozenset({'ikon'}),frozenset({'clothing_store'}),0.12320310433018784,0.11874944880500926,0.016315371725901754,0.1324266284896206,1.1151767845850784,0.001685070995625898,1.015764868002807,0.11779374425723246
frozenset({'other'}),frozenset({'clothing_store'}),0.7701737366610812,0.11874944880500926,0.08951406649616368,0.11622581014542539,0.9787482073813432,-0.0019436402164340755,0.9971444757172654,-0.08632138389448434
frozenset({'other'}),frozenset({'convenience_store'}),0.7701737366610812,0.08704471293764882,0.07117029720433901,0.09240810717966334,1.0616165423608943,0.004130745384558862,1.0059094779101077,0.2525398922132802
frozenset({'other'}),frozenset({'department_store'}),0.7701737366610812,0.018740629685157422,0.01657994532145692,0.021527539219054162,1.14870949272873,0.0021464045294576437,1.002848224805093,0.5632858297545759
frozenset({'epic'}),frozenset({'doctor'}),0.10662315900873093,0.11826439721315812,0.01618308492812417,0.15177832919768403,1.2833814129549137,0.003573361298993898,1.0395108179125225,0.24716155913183108
frozenset({'ikon'}),frozenset({'doctor'}),0.12320310433018784,0.11826439721315812,0.012920010582943823,0.10486757337151038,0.8867214127215185,-0.0016505302854556737,0.9850336961960962,-0.12717169153657906
frozenset({'other'}),frozenset({'doctor'}),0.7701737366610812,0.11826439721315812,0.08916130170209013,0.11576777739608382,0.9788895062596529,-0.001922831013538226,0.9971765111548162,-0.08578537001759273
frozenset({'other'}),frozenset({'drugstore'}),0.7701737366610812,0.022356468824411325,0.01896110768145339,0.024619260277109815,1.101214170738257,0.0017427425484095524,1.0023199058178465,0.39991700726409546
