antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'call_grocery'}),frozenset({'atm'}),0.15063056706940647,0.012434958991092688,0.010979804215539289,0.07289227166276346,5.861882754496985,0.009106719291226183,1.0652106662729484,0.9764965791939433
frozenset({'call_restaurants'}),frozenset({'bakery'}),0.19803333627303996,0.020945409648117117,0.01278772378516624,0.06457359162769984,3.0829471809115305,0.008639834432944088,1.0466398869960263,0.8424727400966586
frozenset({'call_bars'}),frozenset({'bar'}),0.06786312725989946,0.11500132286797778,0.06786312725989946,1.0,8.695552147239264,0.0600587778510531,inf,0.949429963574436
frozenset({'call_restaurants'}),frozenset({'bar'}),0.19803333627303996,0.11500132286797778,0.04550665843548814,0.22979291917167669,1.9981763117236517,0.022732562792129454,1.1490399129806046,0.622898287941425
frozenset({'call_spas'}),frozenset({'beauty_salon'}),0.07575623952729518,0.029896816297733487,0.02883852191551283,0.38067520372526187,12.732967949972696,0.02657365153895819,1.5663884112786595,0.9969920862805518
frozenset({'call_restaurants'}),frozenset({'cafe'}),0.19803333627303996,0.03205750066143399,0.02376752800070553,0.12001781340458695,3.743829398059454,0.017419074192146573,1.0999569242230516,0.9138706693082268
frozenset({'call_bars'}),frozenset({'establishment'}),0.06786312725989946,1.0,0.06786312725989946,1.0,1.0,0.0,inf,0.0
frozenset({'call_bars'}),frozenset({'food'}),0.06786312725989946,0.3715054237587089,0.038539553752535496,0.5679012345679012,1.528648569439865,0.01332803390225536,1.4545160193012736,0.3710049630088216
frozenset({'call_bars'}),frozenset({'point_of_interest'}),0.06786312725989946,1.0,0.06786312725989946,1.0,1.0,0.0,inf,0.0
frozenset({'call_bars'}),frozenset({'restaurant'}),0.06786312725989946,0.24177617073816032,0.0341740894258753,0.5035737491877843,2.0828096815758843,0.017766402382660345,1.5273644937617428,0.5577285219644473
frozenset({'call_grocery'}),frozenset({'convenience_store'}),0.15063056706940647,0.08704471293764882,0.07831378428432842,0.5199063231850117,5.972865044169046,0.06520218981413667,1.9016190613445072,0.9802285412813913
frozenset({'call_grocery'}),frozenset({'drugstore'}),0.15063056706940647,0.022356468824411325,0.018255578093306288,0.1211943793911007,5.420998295525408,0.014888010516615702,1.1124684551951403,0.9601618565652278
frozenset({'call_grocery'}),frozenset({'establishment'}),0.15063056706940647,1.0,0.15063056706940647,1.0,1.0,0.0,inf,0.0
frozenset({'call_grocery'}),frozenset({'finance'}),0.15063056706940647,0.013449157774054149,0.011244377811094454,0.07464871194379391,5.55043767036511,0.009218523548982761,1.0661365634431608,0.9652266679696487
frozenset({'call_grocery'}),frozenset({'food'}),0.15063056706940647,0.3715054237587089,0.11822030161389893,0.7848360655737705,2.1125830617307972,0.06226022896376446,2.9210033638642865,0.6200433055464661
frozenset({'call_grocery'}),frozenset({'gas_station'}),0.15063056706940647,0.03858364935179469,0.035585148602169506,0.23624121779859486,6.122832385413182,0.029773271620701536,1.2587958044516172,0.9850565160494104
frozenset({'call_grocery'}),frozenset({'grocery_or_supermarket'}),0.15063056706940647,0.04316959167475086,0.032498456654025926,0.2157494145199063,4.997717285477462,0.025995796579903474,1.220056989488261,0.9417676439730533
frozenset({'call_grocery'}),frozenset({'health'}),0.15063056706940647,0.20870447129376488,0.0210776964458947,0.13992974238875877,0.6704683494384686,-0.010359576415005772,0.9200359176516334,-0.36655071729911365
frozenset({'call_grocery'}),frozenset({'liquor_store'}),0.15063056706940647,0.05551635946732516,0.04832877678807655,0.32084309133489464,5.779253078072074,0.03996631607988435,1.3906707396808695,0.9736249352948623
frozenset({'call_grocery'}),frozenset({'pharmacy'}),0.15063056706940647,0.013581444571831731,0.012038098597759943,0.07991803278688524,5.884354375133063,0.009992317900283217,1.0720985635833988,0.9772635905955396
frozenset({'call_grocery'}),frozenset({'point_of_interest'}),0.15063056706940647,1.0,0.15063056706940647,1.0,1.0,0.0,inf,0.0
frozenset({'call_grocery'}),frozenset({'store'}),0.15063056706940647,0.33124614163506483,0.15063056706940647,1.0,3.018903088391906,0.10073477291536373,inf,0.7873533381787976
frozenset({'call_grocery'}),frozenset({'supermarket'}),0.15063056706940647,0.026148690360702,0.022576946820707294,0.14988290398126464,5.731946874345901,0.01863815476355243,1.1455496121652347,0.9719436260512928
frozenset({'call_lodging'}),frozenset({'campground'}),0.2114383984478349,0.02826527912514331,0.02747155833847782,0.12992700729927006,4.5966999555894645,0.021495192988576498,1.116842758052478,0.9922530153865294
frozenset({'call_lodging'}),frozenset({'establishment'}),0.2114383984478349,1.0,0.2114383984478349,1.0,1.0,0.0,inf,0.0
frozenset({'call_lodging'}),frozenset({'lodging'}),0.2114383984478349,0.22775377017373666,0.2114383984478349,1.0,4.390706679574056,0.16328250604184374,inf,0.9793099591791086
frozenset({'call_lodging'}),frozenset({'park'}),0.2114383984478349,0.03161654466884205,0.0290589999118088,0.13743482794577686,4.346927514859592,0.022374048342574407,1.1226785948532163,0.9764011514059054
frozenset({'call_lodging'}),frozenset({'point_of_interest'}),0.2114383984478349,1.0,0.2114383984478349,1.0,1.0,0.0,inf,0.0
frozenset({'call_lodging'}),frozenset({'real_estate_agency'}),0.2114383984478349,0.013140488579239792,0.011641238204427197,0.055057351407716365,4.18990139336977,0.00886283434441067,1.0443591607288778,0.9654678812957626
frozenset({'call_lodging'}),frozenset({'travel_agency'}),0.2114383984478349,0.012038098597759943,0.010362465825910574,0.04900938477580813,4.071189845955226,0.007817149538043085,1.0388766046543292,0.9566425263027647
frozenset({'call_medical'}),frozenset({'doctor'}),0.14348707998941707,0.11826439721315812,0.11575094805538408,0.806699446834665,6.8211521459047475,0.09878153503255946,4.561474803606332,0.9963623205460107
frozenset({'call_medical'}),frozenset({'establishment'}),0.14348707998941707,1.0,0.14348707998941707,1.0,1.0,0.0,inf,0.0
frozenset({'call_medical'}),frozenset({'health'}),0.14348707998941707,0.20870447129376488,0.14348707998941707,1.0,4.791464187618846,0.11354068482273963,inf,0.9238570840197693
frozenset({'call_medical'}),frozenset({'hospital'}),0.14348707998941707,0.03470323661698563,0.03435047182291207,0.2393976644130301,6.898424693213083,0.02937100573455899,1.2691214820397287,0.9982795921776958
