principal_component_1,principal_component_2,principal_component_3,icon
0.942513837442271,-0.5760785838059489,1.1989570538146657,clear-day
2.654998860421755,-1.2753258260788634,-0.36131602103796295,clear-day
-3.6738530971910013,-0.7409412586897655,-0.5923271503747566,clear-day
-2.6473177273679807,-0.7193482359423073,-0.6669173223534247,clear-day
1.7279548517052181,-2.687411892527866,-2.0644938159194104,clear-day
2.084568612044673,-3.0509541761213907,0.3705950492467206,clear-day
0.33200746752376364,-1.827508284545278,-0.5123497658382639,clear-day
2.675350927013611,-2.042597787493951,-1.6129398749911892,clear-day
2.5860080943668353,-0.6135605269392355,-0.3732385141377133,clear-day
4.194451087753327,-0.09218016379149317,-0.29002118333992116,clear-day
