,principal_component_1,principal_component_2
Latitude,0.7049535917840064,0.05473558675459817
Longitude,-0.6933766386339492,-0.13358952180074826
rating,-0.04677092792069947,0.7066123947424306
total_ratings,-0.14171009395576264,0.6927169543212035
