Column,Null Count
datetime,0
datetimeEpoch,0
tempmax,0
tempmin,0
temp,0
feelslikemax,0
feelslikemin,0
feelslike,0
dew,0
humidity,0
precip,0
precipprob,0
precipcover,0
preciptype,305269
snow,0
snowdepth,0
windgust,1550
windspeed,0
winddir,0
pressure,0
cloudcover,0
visibility,37524
solarradiation,10
solarenergy,10
uvindex,10
sunrise,0
sunriseEpoch,0
sunset,0
sunsetEpoch,0
moonphase,0
conditions,0
description,0
icon,0
stations,0
source,0
resort,0
tzoffset,276275
severerisk,421370
