Column,Null Count
business_status,18
geometry,0
icon,0
icon_background_color,0
icon_mask_base_uri,0
name,0
photos,4917
place_id,0
plus_code,206
rating,3587
reference,0
scope,0
types,0
user_ratings_total,3587
vicinity,20
resort,0
category,0
opening_hours,7634
price_level,21954
permanently_closed,27565
