Column,Null Count
Resort,0
Call Category,0
Name,0
Latitude,0
Longitude,0
category_0,0
category_1,0
category_2,0
category_3,5904
category_4,14927
category_5,21609
category_6,24893
category_7,26363
category_8,27484
category_9,27822
category_10,28108
category_11,28336
category_12,28420
